,mse_id,GT,value,ZT,hour,Cond,date
0,1128-15M,WT,4.750332663242783,0:00:00,11:00:00,CNO,2018-09-17
1,1128-15M,WT,51.50789180954218,0:10:00,11:10:00,CNO,2018-09-17
2,1128-15M,WT,57.704320069760186,0:20:00,11:20:00,CNO,2018-09-17
3,1128-15M,WT,45.14638002205651,0:30:00,11:30:00,CNO,2018-09-17
4,1128-15M,WT,37.31724097824745,0:40:00,11:40:00,CNO,2018-09-17
5,1128-15M,WT,33.875534387436176,0:50:00,11:50:00,CNO,2018-09-17
6,1128-15M,WT,29.62771519914304,1:00:00,12:00:00,CNO,2018-09-17
7,1128-15M,WT,46.78248088580077,1:10:00,12:10:00,CNO,2018-09-17
8,1128-15M,WT,39.795869971882574,1:20:00,12:20:00,CNO,2018-09-17
9,1128-15M,WT,31.969851975545733,1:30:00,12:30:00,CNO,2018-09-17
10,1128-15M,WT,75.49295696496915,1:40:00,12:40:00,CNO,2018-09-17
11,1128-15M,WT,33.917999817488486,1:50:00,12:50:00,CNO,2018-09-17
12,1128-15M,WT,43.30413100094568,2:00:00,13:00:00,CNO,2018-09-17
13,1128-15M,WT,44.77334982772253,2:10:00,13:10:00,CNO,2018-09-17
14,1128-15M,WT,36.0242668347234,2:20:00,13:20:00,CNO,2018-09-17
15,1128-15M,WT,39.66054024757226,2:30:00,13:30:00,CNO,2018-09-17
16,1128-15M,WT,24.520892586362663,2:40:00,13:40:00,CNO,2018-09-17
17,1128-15M,WT,37.356359366797726,2:50:00,13:50:00,CNO,2018-09-17
18,1128-15M,WT,20.06558447867484,3:00:00,14:00:00,CNO,2018-09-17
19,1128-15M,WT,19.24745008630661,3:10:00,14:10:00,CNO,2018-09-17
20,1128-15M,WT,21.0698807975836,3:20:00,14:20:00,CNO,2018-09-17
21,1128-15M,WT,23.683433091964165,3:30:00,14:30:00,CNO,2018-09-17
22,1128-15M,WT,34.03038957466142,3:40:00,14:40:00,CNO,2018-09-17
23,1128-15M,WT,17.652530208038918,3:50:00,14:50:00,CNO,2018-09-17
24,1128-15M,WT,16.22589407579489,4:00:00,15:00:00,CNO,2018-09-17
25,1128-15M,WT,13.953209764300738,4:10:00,15:10:00,CNO,2018-09-17
26,1128-15M,WT,17.19398604419914,4:20:00,15:20:00,CNO,2018-09-17
27,1128-15M,WT,5.629905739546784,4:30:00,15:30:00,CNO,2018-09-17
28,1128-15M,WT,9.644432433311522,4:40:00,15:40:00,CNO,2018-09-17
29,1128-15M,WT,13.505801501479462,4:50:00,15:50:00,CNO,2018-09-17
30,1128-15M,WT,30.34948386565968,5:00:00,11:00:00,SAL,2018-09-21
31,1128-15M,WT,18.324267176413425,5:10:00,11:10:00,SAL,2018-09-21
32,1128-15M,WT,7.755367024719633,5:20:00,11:20:00,SAL,2018-09-21
33,1128-15M,WT,10.832763125297024,5:30:00,11:30:00,SAL,2018-09-21
34,1128-15M,WT,1.7896817464221946,5:40:00,11:40:00,SAL,2018-09-21
35,1128-15M,WT,3.641747813709521,5:50:00,11:50:00,SAL,2018-09-21
36,1128-15M,WT,4.719473557013503,6:00:00,12:00:00,SAL,2018-09-21
37,1128-15M,WT,11.633114035827886,6:10:00,12:10:00,SAL,2018-09-21
38,1128-15M,WT,4.138655841350939,6:20:00,12:20:00,SAL,2018-09-21
39,1128-15M,WT,11.022566989446744,6:30:00,12:30:00,SAL,2018-09-21
40,1128-15M,WT,11.52992326795744,6:40:00,12:40:00,SAL,2018-09-21
41,1128-15M,WT,3.073123651731592,6:50:00,12:50:00,SAL,2018-09-21
42,1128-15M,WT,2.870773599890177,7:00:00,13:00:00,SAL,2018-09-21
43,1128-15M,WT,2.399837161288915,7:10:00,13:10:00,SAL,2018-09-21
44,1128-15M,WT,1.8148176553408968,7:20:00,13:20:00,SAL,2018-09-21
45,1128-15M,WT,1.5893968227519863,7:30:00,13:30:00,SAL,2018-09-21
46,1128-15M,WT,1.5747314497850768,7:40:00,13:40:00,SAL,2018-09-21
47,1128-15M,WT,12.393816588090855,7:50:00,13:50:00,SAL,2018-09-21
48,1128-15M,WT,9.664263578365732,8:00:00,14:00:00,SAL,2018-09-21
49,1128-15M,WT,13.637953798913305,8:10:00,14:10:00,SAL,2018-09-21
50,1128-15M,WT,3.756913249574172,8:20:00,14:20:00,SAL,2018-09-21
51,1128-15M,WT,2.019944813994247,8:30:00,14:30:00,SAL,2018-09-21
52,1128-15M,WT,1.8525492474251424,8:40:00,14:40:00,SAL,2018-09-21
53,1128-15M,WT,2.169014293920482,8:50:00,14:50:00,SAL,2018-09-21
54,1128-15M,WT,1.91399244596428,9:00:00,15:00:00,SAL,2018-09-21
55,1128-15M,WT,3.362156387927588,9:10:00,15:10:00,SAL,2018-09-21
56,1128-15M,WT,4.350014846175252,9:20:00,15:20:00,SAL,2018-09-21
57,1128-15M,WT,3.0402253263003614,9:30:00,15:30:00,SAL,2018-09-21
58,1128-15M,WT,1.5650556137537044,9:40:00,15:40:00,SAL,2018-09-21
59,1128-15M,WT,1.593031046793743,9:50:00,15:50:00,SAL,2018-09-21
60,1128-16F,WT,39.88433726775581,0:00:00,11:00:00,CNO,2018-09-21
61,1128-16F,WT,32.251040133260055,0:10:00,11:10:00,CNO,2018-09-21
62,1128-16F,WT,40.60586603030938,0:20:00,11:20:00,CNO,2018-09-21
63,1128-16F,WT,47.19345062720383,0:30:00,11:30:00,CNO,2018-09-21
64,1128-16F,WT,58.22104410563436,0:40:00,11:40:00,CNO,2018-09-21
65,1128-16F,WT,58.62005541297732,0:50:00,11:50:00,CNO,2018-09-21
66,1128-16F,WT,30.557108654935693,1:00:00,12:00:00,CNO,2018-09-21
67,1128-16F,WT,60.35062367667614,1:10:00,12:10:00,CNO,2018-09-21
68,1128-16F,WT,32.421650095942084,1:20:00,12:20:00,CNO,2018-09-21
69,1128-16F,WT,52.05982521061439,1:30:00,12:30:00,CNO,2018-09-21
70,1128-16F,WT,45.14385572022596,1:40:00,12:40:00,CNO,2018-09-21
71,1128-16F,WT,47.005574881266405,1:50:00,12:50:00,CNO,2018-09-21
72,1128-16F,WT,66.43872935135539,2:00:00,13:00:00,CNO,2018-09-21
73,1128-16F,WT,45.9199513794158,2:10:00,13:10:00,CNO,2018-09-21
74,1128-16F,WT,59.93475838072727,2:20:00,13:20:00,CNO,2018-09-21
75,1128-16F,WT,58.446420183023776,2:30:00,13:30:00,CNO,2018-09-21
76,1128-16F,WT,56.19029223828312,2:40:00,13:40:00,CNO,2018-09-21
77,1128-16F,WT,50.46463527514547,2:50:00,13:50:00,CNO,2018-09-21
78,1128-16F,WT,69.44770470194197,3:00:00,14:00:00,CNO,2018-09-21
79,1128-16F,WT,49.97469124666733,3:10:00,14:10:00,CNO,2018-09-21
80,1128-16F,WT,44.092396707658295,3:20:00,14:20:00,CNO,2018-09-21
81,1128-16F,WT,40.62005117024572,3:30:00,14:30:00,CNO,2018-09-21
82,1128-16F,WT,34.76989178823205,3:40:00,14:40:00,CNO,2018-09-21
83,1128-16F,WT,34.7333514015604,3:50:00,14:50:00,CNO,2018-09-21
84,1128-16F,WT,37.67891825166385,4:00:00,15:00:00,CNO,2018-09-21
85,1128-16F,WT,27.27984847450456,4:10:00,15:10:00,CNO,2018-09-21
86,1128-16F,WT,19.818884914473344,4:20:00,15:20:00,CNO,2018-09-21
87,1128-16F,WT,20.64031417201217,4:30:00,15:30:00,CNO,2018-09-21
88,1128-16F,WT,31.452601673903462,4:40:00,15:40:00,CNO,2018-09-21
89,1128-16F,WT,21.00894562990424,4:50:00,15:50:00,CNO,2018-09-21
90,1128-16F,WT,9.40105197412139,5:00:00,11:00:00,SAL,2018-09-17
91,1128-16F,WT,42.74647146793376,5:10:00,11:10:00,SAL,2018-09-17
92,1128-16F,WT,32.41172261407856,5:20:00,11:20:00,SAL,2018-09-17
93,1128-16F,WT,12.297401999210644,5:30:00,11:30:00,SAL,2018-09-17
94,1128-16F,WT,1.4673824300681464,5:40:00,11:40:00,SAL,2018-09-17
95,1128-16F,WT,2.1468908454805904,5:50:00,11:50:00,SAL,2018-09-17
96,1128-16F,WT,2.1849008387685145,6:00:00,12:00:00,SAL,2018-09-17
97,1128-16F,WT,3.8325675461968833,6:10:00,12:10:00,SAL,2018-09-17
98,1128-16F,WT,1.7910945067689263,6:20:00,12:20:00,SAL,2018-09-17
99,1128-16F,WT,1.5404944197734514,6:30:00,12:30:00,SAL,2018-09-17
100,1128-16F,WT,15.40331805388955,6:40:00,12:40:00,SAL,2018-09-17
101,1128-16F,WT,22.79929573588108,6:50:00,12:50:00,SAL,2018-09-17
102,1128-16F,WT,5.051206452902791,7:00:00,13:00:00,SAL,2018-09-17
103,1128-16F,WT,2.222599952651852,7:10:00,13:10:00,SAL,2018-09-17
104,1128-16F,WT,1.7330204804603164,7:20:00,13:20:00,SAL,2018-09-17
105,1128-16F,WT,1.7589013801364062,7:30:00,13:30:00,SAL,2018-09-17
106,1128-16F,WT,1.7830105823534566,7:40:00,13:40:00,SAL,2018-09-17
107,1128-16F,WT,2.193963333377823,7:50:00,13:50:00,SAL,2018-09-17
108,1128-16F,WT,1.7476991091906011,8:00:00,14:00:00,SAL,2018-09-17
109,1128-16F,WT,11.013253416214768,8:10:00,14:10:00,SAL,2018-09-17
110,1128-16F,WT,24.83518641827169,8:20:00,14:20:00,SAL,2018-09-17
111,1128-16F,WT,9.917077882380427,8:30:00,14:30:00,SAL,2018-09-17
112,1128-16F,WT,3.96662289815701,8:40:00,14:40:00,SAL,2018-09-17
113,1128-16F,WT,1.5891541149360862,8:50:00,14:50:00,SAL,2018-09-17
114,1128-16F,WT,1.8523741884542475,9:00:00,15:00:00,SAL,2018-09-17
115,1128-16F,WT,1.6728056327145011,9:10:00,15:10:00,SAL,2018-09-17
116,1128-16F,WT,1.811416570708041,9:20:00,15:20:00,SAL,2018-09-17
117,1128-16F,WT,2.000125526549723,9:30:00,15:30:00,SAL,2018-09-17
118,1128-16F,WT,1.5225278263788926,9:40:00,15:40:00,SAL,2018-09-17
119,1128-16F,WT,1.8525793153076588,9:50:00,15:50:00,SAL,2018-09-17
120,1130-3F,WT,16.47099747712117,0:00:00,11:00:00,CNO,2018-09-17
121,1130-3F,WT,42.63245154427545,0:10:00,11:10:00,CNO,2018-09-17
122,1130-3F,WT,44.95195401428369,0:20:00,11:20:00,CNO,2018-09-17
123,1130-3F,WT,53.43335376604135,0:30:00,11:30:00,CNO,2018-09-17
124,1130-3F,WT,41.28446354485604,0:40:00,11:40:00,CNO,2018-09-17
125,1130-3F,WT,40.04493041943597,0:50:00,11:50:00,CNO,2018-09-17
126,1130-3F,WT,48.35256379511991,1:00:00,12:00:00,CNO,2018-09-17
127,1130-3F,WT,36.500332349832085,1:10:00,12:10:00,CNO,2018-09-17
128,1130-3F,WT,49.060080755203565,1:20:00,12:20:00,CNO,2018-09-17
129,1130-3F,WT,35.540563910972175,1:30:00,12:30:00,CNO,2018-09-17
130,1130-3F,WT,36.98221271449249,1:40:00,12:40:00,CNO,2018-09-17
131,1130-3F,WT,46.11301760884725,1:50:00,12:50:00,CNO,2018-09-17
132,1130-3F,WT,44.2578276082676,2:00:00,13:00:00,CNO,2018-09-17
133,1130-3F,WT,35.50164254851567,2:10:00,13:10:00,CNO,2018-09-17
134,1130-3F,WT,37.958574289528826,2:20:00,13:20:00,CNO,2018-09-17
135,1130-3F,WT,41.52831555662485,2:30:00,13:30:00,CNO,2018-09-17
136,1130-3F,WT,36.379583319808766,2:40:00,13:40:00,CNO,2018-09-17
137,1130-3F,WT,25.56427116317665,2:50:00,13:50:00,CNO,2018-09-17
138,1130-3F,WT,18.83075348347802,3:00:00,14:00:00,CNO,2018-09-17
139,1130-3F,WT,29.710789839131305,3:10:00,14:10:00,CNO,2018-09-17
140,1130-3F,WT,32.14098329394798,3:20:00,14:20:00,CNO,2018-09-17
141,1130-3F,WT,18.43290418701101,3:30:00,14:30:00,CNO,2018-09-17
142,1130-3F,WT,32.304177226836444,3:40:00,14:40:00,CNO,2018-09-17
143,1130-3F,WT,34.61984291065947,3:50:00,14:50:00,CNO,2018-09-17
144,1130-3F,WT,17.953966880564774,4:00:00,15:00:00,CNO,2018-09-17
145,1130-3F,WT,15.05248611852648,4:10:00,15:10:00,CNO,2018-09-17
146,1130-3F,WT,13.27458884136039,4:20:00,15:20:00,CNO,2018-09-17
147,1130-3F,WT,7.350762434463089,4:30:00,15:30:00,CNO,2018-09-17
148,1130-3F,WT,2.1912635074324114,4:40:00,15:40:00,CNO,2018-09-17
149,1130-3F,WT,6.877117725136784,4:50:00,15:50:00,CNO,2018-09-17
150,1130-3F,WT,38.53602968043324,5:00:00,11:00:00,SAL,2018-09-21
151,1130-3F,WT,24.22881328361702,5:10:00,11:10:00,SAL,2018-09-21
152,1130-3F,WT,13.957502090062524,5:20:00,11:20:00,SAL,2018-09-21
153,1130-3F,WT,2.8005438790178308,5:30:00,11:30:00,SAL,2018-09-21
154,1130-3F,WT,2.6260821928609057,5:40:00,11:40:00,SAL,2018-09-21
155,1130-3F,WT,1.8313996120371976,5:50:00,11:50:00,SAL,2018-09-21
156,1130-3F,WT,18.39567100381283,6:00:00,12:00:00,SAL,2018-09-21
157,1130-3F,WT,5.339391103251837,6:10:00,12:10:00,SAL,2018-09-21
158,1130-3F,WT,9.661348096627812,6:20:00,12:20:00,SAL,2018-09-21
159,1130-3F,WT,1.5785385076082383,6:30:00,12:30:00,SAL,2018-09-21
160,1130-3F,WT,11.69430088859323,6:40:00,12:40:00,SAL,2018-09-21
161,1130-3F,WT,7.388906554524676,6:50:00,12:50:00,SAL,2018-09-21
162,1130-3F,WT,4.339100372714878,7:00:00,13:00:00,SAL,2018-09-21
163,1130-3F,WT,21.7260753137627,7:10:00,13:10:00,SAL,2018-09-21
164,1130-3F,WT,2.954877939399172,7:20:00,13:20:00,SAL,2018-09-21
165,1130-3F,WT,1.6612418235751545,7:30:00,13:30:00,SAL,2018-09-21
166,1130-3F,WT,2.118291285990783,7:40:00,13:40:00,SAL,2018-09-21
167,1130-3F,WT,1.6197619627831903,7:50:00,13:50:00,SAL,2018-09-21
168,1130-3F,WT,3.5409022575598,8:00:00,14:00:00,SAL,2018-09-21
169,1130-3F,WT,10.777625980765317,8:10:00,14:10:00,SAL,2018-09-21
170,1130-3F,WT,5.947109467311126,8:20:00,14:20:00,SAL,2018-09-21
171,1130-3F,WT,1.5370654976335243,8:30:00,14:30:00,SAL,2018-09-21
172,1130-3F,WT,1.702097634143504,8:40:00,14:40:00,SAL,2018-09-21
173,1130-3F,WT,3.039840295244425,8:50:00,14:50:00,SAL,2018-09-21
174,1130-3F,WT,5.542404483339052,9:00:00,15:00:00,SAL,2018-09-21
175,1130-3F,WT,1.547619787531412,9:10:00,15:10:00,SAL,2018-09-21
176,1130-3F,WT,1.8102523220585536,9:20:00,15:20:00,SAL,2018-09-21
177,1130-3F,WT,15.658661087762267,9:30:00,15:30:00,SAL,2018-09-21
178,1130-3F,WT,21.322329345803688,9:40:00,15:40:00,SAL,2018-09-21
179,1130-3F,WT,2.3861259746458123,9:50:00,15:50:00,SAL,2018-09-21
180,1131-5F,WT,21.84204659941508,0:00:00,11:00:00,CNO,2018-10-17
181,1131-5F,WT,27.52836743019242,0:10:00,11:10:00,CNO,2018-10-17
182,1131-5F,WT,41.17910989686571,0:20:00,11:20:00,CNO,2018-10-17
183,1131-5F,WT,23.710632408961235,0:30:00,11:30:00,CNO,2018-10-17
184,1131-5F,WT,13.860887914330718,0:40:00,11:40:00,CNO,2018-10-17
185,1131-5F,WT,10.165042858409937,0:50:00,11:50:00,CNO,2018-10-17
186,1131-5F,WT,7.468108739361688,1:00:00,12:00:00,CNO,2018-10-17
187,1131-5F,WT,18.42988481620953,1:10:00,12:10:00,CNO,2018-10-17
188,1131-5F,WT,10.167039179822735,1:20:00,12:20:00,CNO,2018-10-17
189,1131-5F,WT,11.928885973855069,1:30:00,12:30:00,CNO,2018-10-17
190,1131-5F,WT,5.3510720937736505,1:40:00,12:40:00,CNO,2018-10-17
191,1131-5F,WT,7.696608252400027,1:50:00,12:50:00,CNO,2018-10-17
192,1131-5F,WT,22.449077552055265,2:00:00,13:00:00,CNO,2018-10-17
193,1131-5F,WT,9.34283268542318,2:10:00,13:10:00,CNO,2018-10-17
